[2025-06-01 01:39:46.527] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza alta, notificando a Sonic y Tails si está cerca (No).
[2025-06-01 01:39:46.528] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601013905-0017': Enviar a LogDB, Sonic
[2025-06-01 01:39:46.530] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:40:01.594] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:40:01.605] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601014000-0018' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:40:01.608] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601014000-0018' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:40:41.667] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601014000-0018'. Tomando decisión automática.
[2025-06-01 01:40:41.675] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601014000-0018.json' creado en 'data_dashboard'.
[2025-06-01 01:40:41.676] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601014000-0018' debido a: Timeout
[2025-06-01 01:40:41.677] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza crítica, notificando a todos los héroes principales.
[2025-06-01 01:40:41.679] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601014000-0018': Enviar a Tails, Knuckles, LogDB, Sonic
[2025-06-01 01:40:41.683] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:41:03.827] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:41:03.840] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601014103-0019' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:41:03.843] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601014103-0019' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:41:43.893] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601014103-0019'. Tomando decisión automática.
[2025-06-01 01:41:43.895] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601014103-0019.json' creado en 'data_dashboard'.
[2025-06-01 01:41:43.896] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601014103-0019' debido a: Timeout
[2025-06-01 01:41:43.896] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza alta, notificando a Sonic y Tails si está cerca (No).
[2025-06-01 01:41:43.897] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601014103-0019': Enviar a LogDB, Sonic
[2025-06-01 01:41:43.898] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:42:02.006] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:42:02.018] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601014201-0020' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:42:02.021] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601014201-0020' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:42:42.074] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601014201-0020'. Tomando decisión automática.
[2025-06-01 01:42:42.076] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601014201-0020.json' creado en 'data_dashboard'.
[2025-06-01 01:42:42.077] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601014201-0020' debido a: Timeout
[2025-06-01 01:42:42.078] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza media, notificando a héroes cercanos o uno al azar.
[2025-06-01 01:42:42.078] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601014201-0020': Enviar a LogDB, Sonic
[2025-06-01 01:42:42.080] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:42:59.161] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:42:59.174] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601014258-0021' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:42:59.177] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601014258-0021' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:43:39.243] [BotDecisionTactica          ] [INFO ] Timeout esperando decisión del usuario para 'EVT-SEL-20250601014258-0021'. Tomando decisión automática.
[2025-06-01 01:43:39.254] [BotDecisionTactica          ] [INFO ] Archivo de auto-decisión 'auto_decision_EVT-SEL-20250601014258-0021.json' creado en 'data_dashboard'.
